col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-0790,03/18/2025 5:51 PM,03/17/2025 5:00 PM - 03/17/2025 10:00 PM,Larceny,Bobst Library,Washington Square,A student reported a Larceny.,Open,2025-03-18
2025-0779,03/18/2025 3:14 AM,03/17/2025 2:30 PM - 03/18/2025 3:15 AM,Motor Vehicle Theft,Dibner Library - Exterior,Brooklyn Commons,A student reported a E-Scooter Theft.,Closed/ Referred to NYPD,2025-03-18
2025-0794,03/18/2025 9:25 PM,03/18/2025 9:22 PM - 03/18/2025 9:35 PM,Criminal Trespass,370 Jay Street,Brooklyn Commons,A campus safety officer reported a Criminal Trespass.,Closed/ Referred to NYPD,2025-03-18
2025-0793,03/18/2025 7:03 PM,03/18/2025 2:00 PM - 03/18/2025 6:00 PM,Motor Vehicle Theft,Schwartz Hall - Exterior,Kips Bay & Langone (Public property only),A student reported a stolen electric scooter.,Open,2025-03-18
2025-0788,03/18/2025 2:47 PM,03/03/2025 2:38 PM - 03/03/2025 2:42 PM,Disorderly Conduct,NYU Bookstore,Washington Square,A staff member reported Disorderly Conduct.,Open,2025-03-18
2025-0800,03/19/2025 11:58 AM,03/14/2025 4:00 PM - 03/18/2025 6:30 PM,Larceny,King Juan Carlos,Washington Square,A student reported a Larceny.,Closed,2025-03-19
00881-2025,03/19/2025 1:30 PM,09-01-2024 - 10-02-2024,Stalking/ Sexual Abuse/ Fondling,370 Jay Street,Brooklyn Commons,A student reported Stalking/ Sexual Abuse/ Fondling x3.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-03-19
00883-2025,03/19/2025 1:43 PM,09/27/2024 4:00 PM - 10-06-2024 Unknown,Stalking/ Fondling/ Sexual Abuse,370 Jay Street,Brooklyn Commons,A student reported Stalking/ Fondling x2/ Sexual Abuse.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-03-19
2025-0798,03/19/2025 11:36 AM,03/19/2025 10:00 AM - 03/19/2025 11:45 AM,Larceny,404 Lafayette Street,Washington Square,A student reported a Larceny.,Closed,2025-03-19
00905-2025,03/20/2025 12:41 PM,03/18/2025 11:30 PM - 03/19/2025 12:50 AM,Larceny,Coral Towers Residence Hall,Washington Square,A student reported a Larceny.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-03-20
2025-0811,03/20/2025 8:08 AM,03/20/2025 8:00 AM - 03-20-2025,Larceny,Washington Square South & Washington Square West Intersection,Washington Square,A student reported a Larceny.,Closed/ Referred to NYPD,2025-03-20
2025-0809,03/20/2025 12:38 AM,03/08/2025 1:00 PM - 03-17-2025,Stalking,Palladium Residence Hall,Washington Square,A student reported Stalking.,Closed,2025-03-20
2025-0818,03/20/2025 4:27 PM,03-20-2025 - 03-20-2025,Simple Assault,Schwartz Hall - Exterior,Kips Bay & Langone (Public property only),A student reported Simple Assault.,Closed/ Referred to NYPD,2025-03-20
00928-2025,03-21-2025 2:42 PM,03-17-2025 4:19 PM,Larceny,Carlyle Court Residence Hall,Washington Square,A student reported missing property.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-03-21
2025-0843,03-22-2025 9:53 AM,03-22-2025 9:53 AM - 03-22-2025 12:46 PM,Criminal Tampering,Undisclosed on-campus location,,A staff member reported a hacking.,Closed/ Referred to NYPD,2025-03-22
2025-0852,03-23-2025 3:54 PM,03-23-2025 3:40 PM,Criminal Trespass,Bobst Library,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Closed,2025-03-23
2025-0866,03-24-2025 4:35 PM,03-24-2025 4:35 PM,Criminal Mischief,Othmer Residence Hall,Brooklyn Commons,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-03-24
2025-0876,03-25-2025,03-25-2025 4:30 PM - 03-25-2025 5:00 PM,Larceny,Palladium Residence Hall,Washington Square,A student reported stolen property.,Closed/ Referred to NYPD,2025-03-25
2025-0877,03-25-2025 5:50 PM,03-25-2025,Harassment,Washington Square Park,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-03-25
2025-0884,03-26-2025 7:48 PM,03-26-2025,Criminal Mischief,238 Thompson Street,Washington Square,An NYU-affiliate reported Criminal Mischief.,Open,2025-03-26
2025-0885,03-27-2025 12:16 PM,03-27-2025 12:16 PM,Falsely Reporting an Incident,Tisch Hall,Washington Square,An individual falsely activated a fire alarm.,Closed/ Referred to NYPD,2025-03-27
00989-2025,03-27-2025 6:31 PM,03-27-2025 2:50 PM,Liquor Law Violation (x4),Greenwich Residence Hall,Washington Square,A staff member reported underage alcohol possession.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-03-27
2025-0899,03-28-2025 10:32 PM,03-28-2025 10:20 PM,Harassment,Brittany Hall,Washington Square,A student reported Harassment.,Open,2025-03-28
2025-0904,03-29-2025 2:52 AM,03-29-2025 2:52 AM,Criminal Mischief,10 Washington Place,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-03-29
2025-0905,03-29-2025 6:03 PM,03-29-2025 5:00 PM - 03-29-2025 5:05 PM,Harassment,Washington Square Park,Washington Square,A student reported Harassment.,Open,2025-03-29
2025-0913,03-30-2025 10:52 PM,12-2024 - 03-30-2025,Larceny,7 Washington Place,Washington Square,A Campus Safety Officer reported missing property.,Open,2025-03-30
2025-0911,03-30-2025 6:48 PM,03-30-2025 6:15 PM - 03-30-2025 6:45 PM,Larceny,Gramercy Green,Washington Square,A student reported stolen property.,Open,2025-03-30
2025-0908,03-30-2025 7:22 AM,03-30-2025 7:22 AM,Criminal Mischief,Kimmel Center,Washington Square,A Campus Safety Officer reported graffiti.,Open,2025-03-30
2025-0916,03-31-2025 2:11 AM,03-31-2025 2:11 AM,Criminal Mischief,Gould Plaza,Washington Square,A staff member reported graffiti.,Closed/ Referred to NYPD,2025-03-31
2025-0920,03-31-2025 10:45 AM,03-02-2025 10:53 AM - 03-04-2025 9:00 AM,Larceny,Hayden Hall,Washington Square,A student reported missing property.,Open,2025-03-31
2025-0930,04-01-2025 7:48 AM,03-07-2025 4:10 PM - 03-07-2025 4:20 PM,Criminal Trespass,Kimmel Center,Washington Square,A staff member reported a Criminal Trespass.,Open,2025-04-01
2025-0956,04-02-2025 9:37 PM,04-02-2025 8:13 PM - 04-02-2025 8:15 PM,Larceny,2 Metrotech Center,Brooklyn Commons,A student reported stolen property.,Open,2025-04-02
2025-0962,04-03-2025 12:45 PM,04-03-2025 12:20 PM - 04-03-2025 12:30 PM,Larceny,238 Thompson Street,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-04-03
2025-0966,04-03-2025 4:20 PM,04-01-2025 9:00 PM,Larceny,Washington Square Park,Washington Square,A student reported stolen property.,Closed/ Referred to NYPD,2025-04-03
2025-0969,04-03-2025 5:38 PM,04-03-2025,Hate Crime / Criminal Mischief,Bobst Library,Washington Square,A student reported vandalism motivated by bias.,Closed/ Referred to NYPD,2025-04-03
2025-0981,04/04/2025 11:27 AM,04/04/2025 11:23 AM - 04/04/2025 12:01 PM,Criminal Mischief,Kevorkian Center - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-04-04
2025-0979,04-04-2025 10:55 AM,04-04-2025 9:10 AM - 04-04-2025 10:50 AM,Larceny,Mercer Street and Bleecker Street,Washington Square,A student reported missing property.,Closed,2025-04-04
01042-2025,04-04-2025 2:00 AM,04-04-2025 12:43 AM,Gambling,University Residence Hall,Washington Square,An RA reported Gambling.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-04-04
2025-1000,04/06/2025 5:34 PM,04/06/2025 5:00 PM - 04/06/2025 6:00 PM,Harassment,Bobst Library,Washington Square,A student reported Harassment.,Open,2025-04-06
2025-1009,04/07/2025 3:19 PM,04/07/2025 2:00 PM - 04/07/2025 3:14 PM,Aggravated Assault,Schwartz Hall,Kips Bay,A staff member reported an Aggravated Assault.,Closed/ Referred to NYPD,2025-04-07
2025-1023,04/08/2025 5:25 PM,04/08/2025 1:30 PM - 04-08-2025,Harassment,Silver Center - Exterior,Washington Square,A staff member reported Harassment.,Closed,2025-04-08
2025-1015,04/08/2025 4:02 AM,04/08/2025 4:02 AM - 04-08-2025,Criminal Mischief,Meyer Hall,Washington Square,A staff member reported Criminal Mischief.,Open,2025-04-08
2025-1042,04/09/2025 1:10 PM,04/08/2025 10:00 AM - 04/08/2025 1:00 PM,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Open,2025-04-09
2025-1031,04/09/2025 8:01 AM,04/09/2025 8:01 AM - 04/09/2025 8:09 AM,Harassment/ Criminal Mischief,Starbucks - 45 West 4th Street,Washington Square,A staff member reported Harassment/ Criminal Mischief.,Closed/ Referred to NYPD,2025-04-09
2025-1037,04/09/2025 10:00 AM,04/09/2025 9:33 AM - 04/09/2025 9:42 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-04-09
2025-1038,04/09/2025 8:52 AM,04/09/2025 8:00 AM - 04/09/2025 8:30 AM,Criminal Mischief,370 Jay Street - Exterior,Brooklyn Commons,A campus safety officer reported Criminal Mischief.,Closed/ Referred to NYPD,2025-04-09
2025-1053,04/10/2025 4:46 PM,04/10/2025 2:00 PM - 04/10/2025 4:00 PM,Larceny,15 Washington Place,Washington Square,A staff member reported a Larceny.,Open,2025-04-10
2025-1054,04/10/2025 5:51 PM,04/10/2025 5:50 PM - 04/10/2025 5:51 PM,Larceny,Founders Residence Hall,Washington Square,A student reported a Larceny.,Closed,2025-04-10
2025-1050,04/10/2025 1:33 PM,04/10/2025 12:50 PM - 04-10-2025,Harassment,721 Broadway - Exterior,Washington Square,A student reported Harassment.,Open,2025-04-10
2025-1060,04/11/2025 12:56 PM,04/11/2025 11:45 AM - 04-11-2025,Harassment,LaGuardia Place & West 3rd Street,Washington Square,A student reported Harassment.,Closed,2025-04-11
2025-1061,04/12/2025 3:35 AM,04/12/2025 3:31 AM - 04/12/2025 4:33 AM,Criminal Mischief,721 Broadway - Exterior,Washington Square,A staff member reported Criminal Mischief.,Open,2025-04-12
2025-1062,04/12/2025 5:36 AM,04/12/2025 5:36 AM - 04/12/2025 5:52 AM,Falsely Reporting an Incident,Carlyle Court Residence Hall,Washington Square,A staff member reported Falsely Reporting an Incident.,Closed,2025-04-12
2025-1065,04/12/2025 1:03 PM,04-11-2025 - 04-11-2025,Harassment,Broome Street Residence Hall,Washington Square,A student reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-04-12
2025-1070,04/12/2025 11:57 PM,03/12/2025 6:30 PM - 03/12/2025 11:35 PM,Larceny,Lipton Residence Hall,Washington Square,A student reported a Larceny.,Closed,2025-04-12
2025-1090,04/14/2025 4:43 PM,11-01-2024 - 04/14/2025 4:35 PM,Dating Violence/ Stalking/ Harassment,Furman Hall - Exterior,Washington Square,A student reported Dating Violence/ Stalking/ Harassment.,Closed/ Referred to NYPD,2025-04-14
2025- 1101,04/15/2025 1:32 PM,02-19-2025 - 04/11/2025 7:30 AM,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Open,2025-04-15
2025-1103,04/15/2025 2:30 PM,04/09/2025 8:00 PM - 04/15/2025 8:30 AM,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Closed,2025-04-15
2025-1093,04/15/2025 2:17 AM,04/15/2025 1:51 AM - 04/15/2025 3:04 AM,Harassment,University Hall,Washington Square,A campus safety officer reported Harassment.,Closed/ Referred to NYPD,2025-04-15
2025-1105,04/15/2025 6:23 PM,04/15/2025 5:00 PM - 04/15/2025 6:00 PM,Larceny,Lipton Residence Hall,Washington Square,A student reported a Larceny.,Closed,2025-04-15
2025-1109,04/15/2025 11:11 PM,04/15/2025 11:02 PM - 04/15/2025 11:31 PM,Harassment,Pless Hall,Washington Square,A campus safety officer reported Harassment.,Closed,2025-04-15
2025-1100,04/15/2025 11:12 AM,04/15/2025 10:55 AM - 04-15-2025,Criminal Trespass,Schwartz Plaza,Washington Square,A staff member reported a Criminal Trespass.,Open,2025-04-15
2025-1122,04/16/2025 10:35 PM,04/16/2025 10:10 PM - 04/16/2025 10:25 PM,Larceny,Bobst Library,Washington Square,A student reported a Larceny.,Open,2025-04-16
2025- 1116,04/16/2025 12:35 PM,04/16/2025 11:30 AM - 04/16/2025 11:45 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A student reported Disorderly Conduct.,Open,2025-04-16
2025- 1131,04/17/2025 4:25 PM,04/17/2025 3:10 PM - 04/17/2025 4:10 PM,Motor Vehicle Theft,Kimmel Center - Exterior,Washington Square,A staff member reported an e-scooter theft.,Closed/ Referred to NYPD,2025-04-17
2025-1137,04-18-2025 10:15 AM,04-17-2025,Harassment,715 Broadway,Washington Square,A staff member reported Harassment.,Closed,2025-04-18
2025-1132,04/18/2025 10:48 PM,04/16/2025 11:00 PM - 04/18/2025 8:30 PM,Larceny,University Hall,Washington Square,A student reported a Larceny.,Open,2025-04-18
2025-1142,04-18-2025 2:21 PM,04-18-2025 1:22 PM - 04-18-2025 2:21 PM,Criminal Trespass,Kimmel Hall,Washington Square,A student reported Criminal Trespass.,Closed/ Referred to NYPD,2025-04-18
2025-1143,04-18-2025 4:50 PM,04-18-2025 4:50 PM,Criminal Mischief,Silver Center,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-04-18
2025-1141,04-18-2025 12:43 PM,04-18-2025,Harassment,Alumni Hall,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-04-18
2025-1158,04-20-2025 9:51 AM,03-28-2025 11:00 PM 04-20-2025 8:00 am,Larceny,Palladium Hall,Washington Square,A student reported missing property.,Open,2025-04-20
2025-1159,04-20-2025 12:12 PM,04-20-2025 12:12 PM,Harassment,Bobst Library - Exterior,Washington Square,A Security Officer reported Harassment.,Closed/ Referred to NYPD,2025-04-20
2025-1161,04-20-2025 4:00 PM,04-19-2025 2:49 PM - 04-19-2025 10:03 PM,Larceny,Hayden Hall,Washington Square,A student reported missing property.,Open,2025-04-20
2025-1162,04-20-2025 3:54 PM,04-20-2025 2:22 PM - 04-20-2025 3:12 PM,Larceny,Paulson Center,Washington Square,A student reported missing property.,Open,2025-04-20
2025-1175,04-21-2025 12:47 PM,04-21-2025 12:47 PM - 04-21-2025 1:30 PM,Loitering,Forbes Building,Washington Square,A Campus Safety Officer reported Loitering.,Closed/ Referred to NYPD,2025-04-21
01219-2025,04-21-2025 10:38 AM,04-19-2025 - 04-21-2025,Criminal Mischief,Greenwich Hall,Washington Square,A student reported property damages.,Open,2025-04-21
2025-1181,04-21-2025 8:32 PM,04-21-2025,Stalking,400 Broome Street,Washington Square,A student reported Stalking.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-04-21
2025-1198,04-22-2025 11:30 PM,04-22-2025 3:30 PM - 04-22-2025 8:40 PM,Larceny,Shimkin Hall,Washington Square,A student reported missing property.,Open,2025-04-22
2025-1194,04-22-2025 6:55 PM,04-22-2025 6:00 PM,Criminal Mischief,715 Broadway - Exterior,Washington Square,A staff member reported property damage.,Open,2025-04-22
2025-1188,04-22-2025 11:58 AM,04-20-2025 12:00 PM 04-21-2025 10:00 AM,Larceny,Seventh Street Residence Hall,Washington Square,A student reported missing property.,Open,2025-04-22
2025-1184,04-22-2025 5:20 AM,04-22-2025 5:20 AM,Criminal Mischief,12 Waverly Place,Washington Square,A Campus Safety Officer reported property damage.,Closed/ Referred to NYPD,2025-04-22
2025-1187,04-22-2025 12:51 PM,03-01-2025 - 04-01-2025,Harassment,Paulson Center,Washington Square,A staff member reported Harassment.,Open,2025-04-22
2025-1182,04-22-2025 1:25 AM,04-18-2025 12:00 PM 4-18-2025 3:30 PM,Larceny,6th Street Residence Hall,Washington Square,A student reported missing property.,Open,2025-04-22
2025-1202,04-23-2025 11:51 AM,04-23-2025 11:50 AM - 04-23-2025 11:58 AM,Harassment,Kimball Hall - Exterior,Washington Square,A Campus Safety Officer reported Harassment.,Closed/ Referred to NYPD,2025-04-23
2025-1204,04-23-2025 12:40 PM,04-23-2025 12:40 PM - 04-23-2025 1:14 PM,Loitering,Weissman Hall,Kips Bay,A staff member reported Loitering.,Closed/ Referred to NYPD,2025-04-23
2025-1207,04-23-2025 4:40 PM,04-23-2025 7:30 AM - 04-23-2025 4:30 PM,Motor Vehicle Theft,4 Washington Place - Exterior,Washington Square,A student reported a stolen e-scooter.,Closed/ Referred to NYPD,2025-04-23
01263-2025,04-24-2025 9:45 AM,03-15-2025 - 04-24-2025,Harassment,Carlyle Court Residence Hall,Washington Square,A student reported Harassment.,Closed/ Referred to Title IX,2025-04-24
2025-1223,04-24-2025 7:40 PM,04-24-2025 6:16 PM - 04-24-2025 7:40 PM,Loitering,561 LaGuardia Place,Washington Square,A Campus Safety Officer reported Loitering.,Open,2025-04-24
2025-1223,04-24-2025 6:16 PM,04-21-2025 - 04-24-2025,Stalking,721 Broadway,Washington Square,A student reported Stalking.,Closed/ Referred to Title IX,2025-04-24
2025-1213,04-24-2025 11:40 AM,04-23-2025 11:30 PM - 04-23-2025 11:45 PM,Larceny,Grammercy Green Residence Hall,Washington Square,A student reported missing property.,Open,2025-04-24
2025-1211,04-24-2025 1:30 AM,04-23-2025 10:51 PM - 04-23-2025 11:25 PM,Criminal Mischief,Gould Plaza,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-04-24
2025-1218,04-24-2025 3:47 PM,04-24-2025 3:30 PM - 04-24-2025 3:40 PM,Larceny,Sixth Street Residence Hall,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-04-24
2025-1210,04-24-2025 1:19 AM,04-24-2025 1:17 AM,Harassment,Palladium Hall - Exterior,Washington Square,A student reported Harassment.,Open,2025-04-24
2025-1221,04-24-2025 7:24 PM,02-04-2025 4:00 PM - 04-17-2025,Harassment,Third North Hall,Washington Square,A student reported Harassment.,Open,2025-04-24
2025-1238,04-25-2025 7:14 PM,04-25-2025 1:00 PM - 04-25-2025 7:11 PM,Larceny,725 Broadway - Exterior,Washington Square,A student reported missing property.,Open,2025-04-25
2025-1241,04-25-2025 9:35 PM,04-25-2025 7:50 PM - 04-25-2025 9:25 PM,Larceny,Second Street Residence Hall,Washington Square,A student reported missing property.,Open,2025-04-25
2025-1239,04-25-2025 6:24 PM,04-25-2025 4:15 PM - 04-25-2025 6:24 PM,Larceny,404 Lafayette Street,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-04-25
2025-1236,04-25-2025 4:55 PM,04-25-2025 2:00 PM - 04-25-2025 3:55 PM,Larceny,370 Jay Street - Exterior,Brooklyn Commons,A student reported missing property.,Closed,2025-04-25
2025-1234,04-25-2025 4:50 PM,04-25-2025 4:50 PM - 04-25-2025 5:20 PM,Harassment,Washington Mews,Washington Square,A student reported Harassment.,Closed/ Referred to NYPD,2025-04-25
2025-1228,04-25-2025 7:35 AM,04-05-2025,Larceny,Schwartz Hall,Kips Bay,A staff member reported missing property.,Open,2025-04-25
2025-1227,04-25-2025 2:37 AM,04-25-2025 2:20 AM,Public Lewdness,Third North Hall,Washington Square,A student reported Public Lewdness.,Open,2025-04-25
2025-1235,04-25-2025 3:00 PM,04-25-2025 2:00 PM - 04-25-2025 3:00 PM,Larceny,Paulson Center,Washington Square,A student reported missing property.,Closed/ Referred to NYPD,2025-04-25
2025-1248,04-26-2025 10:55 AM,04-26-2025 10:55 AM,Criminal Mischief,Lillian Vernon Creative Writers House - Exterior,Washington Square,A Campus Safety Officer reported graffiti.,Closed/ Referred to NYPD,2025-04-26
